€Time(ms),Temperature(C),Humidity(% Relative),Pressure(hPa),Altitude(m),Ambient Light(0-255)   
2940000,13.38,78.03125,1029.082383,-130,138
2955000,13.35,80.39257813,1029.068711,-130,138
2970000,13.38,79.31152344,1029.082383,-130,132
2985000,13.36,80.453125,1029.057734,-130,143
3000000,13.37,79.92578125,1029.093359,-130,148
3015000,13.36,80.51953125,1029.049258,-130,149
3030000,13.35,80.47070313,1029.013633,-122,142
3045000,13.37,79.49511719,1029.038281,-130,140
3060000,13.36,80.5390625,1029.049258,-130,133
3075000,13.35,80.78320313,1028.903516,-122,152
3090000,13.36,81.03710938,1028.93918,-122,144
3105000,13.37,81.546875,1028.983281,-122,150
3120000,13.38,80.19140625,1029.054883,-122,134
3135000,13.36,81.1953125,1029.057734,-130,130
3150000,13.38,80.88476563,1029.054883,-130,136
3165000,13.4,80.49023438,1029.013867,-130,127
3180000,13.39,79.93945313,1028.988867,-130,126
3195000,13.39,80.31054687,1029.052383,-130,138
3210000,13.4,79.69628906,1029.00543,-122,141
3225000,13.42,77.95019531,1028.983477,-122,143
3240000,13.41,78.93554688,1028.975352,-122,146
3255000,13.44,77.75878906,1028.906523,-122,143
3270000,13.44,78.63867188,1028.851445,-122,142
3285000,13.41,79.95214844,1028.994453,-122,136
3300000,13.44,78.97070313,1028.878984,-122,150
3315000,13.45,78.73828125,1028.959023,-122,146
3330000,13.46,78.8671875,1028.994688,-122,156
3345000,13.46,79.05273438,1028.939609,-122,155
3360000,13.47,79.52441406,1028.956172,-122,153
3375000,13.48,77.79492187,1028.890156,-122,155
3390000,13.49,78.22558594,1028.87918,-122,160
3405000,13.48,78.55761719,1028.953633,-122,162
3420000,13.49,77.88476562,1028.997734,-122,159
3435000,13.5,76.95800781,1029.005859,-130,149
3450000,13.49,79.26367188,1028.942656,-122,153
3465000,13.49,79.64257812,1029.044336,-130,142
3480000,13.48,80.15136719,1029.008711,-130,139
3495000,13.48,80.13183594,1029.03625,-130,135
3510000,13.5,79.52929688,1028.986758,-122,129
3525000,13.5,78.85546875,1029.014297,-130,132
3540000,13.5,78.69824219,1029.005859,-130,139
3555000,13.49,79.29296875,1028.970195,-122,119
3570000,13.5,79.34375,1029.060898,-130,123
3585000,13.49,80.19042969,1029.044336,-130,125
3600000,13.51,78.33691406,1029.132539,-130,120
3615000,13.49,78.59667969,1028.989258,-122,134
